unit_id,unit_type,status,origin
AC772,AC,AVAILABLE,AIR NATIONAL GUARD - Station 1
CR772,CR,AVAILABLE,AIR NATIONAL GUARD - Station 1
CR774,CR,AVAILABLE,AIR NATIONAL GUARD - Station 1
TN776,TN,AVAILABLE,AIR NATIONAL GUARD - Station 1
CR775,CR,AVAILABLE,AIR NATIONAL GUARD - Station 1
LQ775,LQ,AVAILABLE,AIR NATIONAL GUARD - Station 1
LQ777,LQ,AVAILABLE,AIR NATIONAL GUARD - Station 1
FC771,FC,AVAILABLE,AIR NATIONAL GUARD - Station 1
EN778,EN,AVAILABLE,AIR NATIONAL GUARD - Station 1
AC191,AC,AVAILABLE,AVRA VALLEY FIRE - Station 191
BC191,OTHER,AVAILABLE,AVRA VALLEY FIRE - Station 191
EN191,EN,AVAILABLE,AVRA VALLEY FIRE - Station 191
PM191,PM,AVAILABLE,AVRA VALLEY FIRE - Station 191
TN191,TN,AVAILABLE,AVRA VALLEY FIRE - Station 191
BR192,OTHER,AVAILABLE,AVRA VALLEY FIRE - Station 192
EN192,EN,AVAILABLE,AVRA VALLEY FIRE - Station 192
PM192,PM,AVAILABLE,AVRA VALLEY FIRE - Station 192
BR193,OTHER,AVAILABLE,AVRA VALLEY FIRE - Station 193
EN193,EN,AVAILABLE,AVRA VALLEY FIRE - Station 193
PM193,PM,AVAILABLE,AVRA VALLEY FIRE - Station 193
TN193,TN,AVAILABLE,AVRA VALLEY FIRE - Station 193
EN194,EN,AVAILABLE,AVRA VALLEY FIRE - Station 194
PM194,PM,AVAILABLE,AVRA VALLEY FIRE - Station 194
SQ194,OTHER,AVAILABLE,AVRA VALLEY FIRE - Station 194
BC370,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 370
BR370,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 370
EN370,EN,AVAILABLE,GOLDER RANCH FIRE - Station 370
PM370,PM,AVAILABLE,GOLDER RANCH FIRE - Station 370
TN370,TN,AVAILABLE,GOLDER RANCH FIRE - Station 370
BR372,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 372
EN372,EN,AVAILABLE,GOLDER RANCH FIRE - Station 372
PM372,PM,AVAILABLE,GOLDER RANCH FIRE - Station 372
EN373,EN,AVAILABLE,GOLDER RANCH FIRE - Station 373
PM373,PM,AVAILABLE,GOLDER RANCH FIRE - Station 373
BR374,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 374
EN374,EN,AVAILABLE,GOLDER RANCH FIRE - Station 374
CR375,CR,AVAILABLE,GOLDER RANCH FIRE - Station 375
LD375,LD,AVAILABLE,GOLDER RANCH FIRE - Station 375
PM375,PM,AVAILABLE,GOLDER RANCH FIRE - Station 375
EN376,EN,AVAILABLE,GOLDER RANCH FIRE - Station 376
PM376,PM,AVAILABLE,GOLDER RANCH FIRE - Station 376
TN376,TN,AVAILABLE,GOLDER RANCH FIRE - Station 376
EC377,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 377
EN377,EN,AVAILABLE,GOLDER RANCH FIRE - Station 377
EN381,EN,AVAILABLE,GOLDER RANCH FIRE - Station 377
PM377,PM,AVAILABLE,GOLDER RANCH FIRE - Station 377
SQ377,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 377
TRT377,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 377
BR378,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 378
EN378,EN,AVAILABLE,GOLDER RANCH FIRE - Station 378
AP379,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 379
EN379,EN,AVAILABLE,GOLDER RANCH FIRE - Station 379
PM379,PM,AVAILABLE,GOLDER RANCH FIRE - Station 379
TN379,TN,AVAILABLE,GOLDER RANCH FIRE - Station 379
BC380,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 380
BR380,OTHER,AVAILABLE,GOLDER RANCH FIRE - Station 380
EN380,EN,AVAILABLE,GOLDER RANCH FIRE - Station 380
PM380,PM,AVAILABLE,GOLDER RANCH FIRE - Station 380
FC310,FC,AVAILABLE,MOUNT LEMMON FIRE - Station 310
RT311,OTHER,AVAILABLE,MOUNT LEMMON FIRE - Station 310
EN315,EN,AVAILABLE,MOUNT LEMMON FIRE - Station 310
EN316,EN,AVAILABLE,MOUNT LEMMON FIRE - Station 310
BR316,OTHER,AVAILABLE,MOUNT LEMMON FIRE - Station 310
TN317,TN,AVAILABLE,MOUNT LEMMON FIRE - Station 310
TN318,TN,AVAILABLE,MOUNT LEMMON FIRE - Station 310
UT319,OTHER,AVAILABLE,MOUNT LEMMON FIRE - Station 310
EN330,EN,AVAILABLE,NORTHWEST FIRE - Station 30
MD830,OTHER,AVAILABLE,NORTHWEST FIRE - Station 30
PM330,PM,AVAILABLE,NORTHWEST FIRE - Station 30
PM350,PM,AVAILABLE,NORTHWEST FIRE - Station 30
BC331,OTHER,AVAILABLE,NORTHWEST FIRE - Station 31
DV332,OTHER,AVAILABLE,NORTHWEST FIRE - Station 31
EN331,EN,AVAILABLE,NORTHWEST FIRE - Station 31
LD331,LD,AVAILABLE,NORTHWEST FIRE - Station 31
MD831,OTHER,AVAILABLE,NORTHWEST FIRE - Station 31
PM331,PM,AVAILABLE,NORTHWEST FIRE - Station 31
PM351,PM,AVAILABLE,NORTHWEST FIRE - Station 31
SO331,OTHER,AVAILABLE,NORTHWEST FIRE - Station 31
EN332,EN,AVAILABLE,NORTHWEST FIRE - Station 32
TN332,TN,AVAILABLE,NORTHWEST FIRE - Station 32
AP333,OTHER,AVAILABLE,NORTHWEST FIRE - Station 33
BR333,OTHER,AVAILABLE,NORTHWEST FIRE - Station 33
EN333,EN,AVAILABLE,NORTHWEST FIRE - Station 33
EN342,EN,AVAILABLE,NORTHWEST FIRE - Station 33
PM333,PM,AVAILABLE,NORTHWEST FIRE - Station 33
DV334,OTHER,AVAILABLE,NORTHWEST FIRE - Station 34
EN334,EN,AVAILABLE,NORTHWEST FIRE - Station 34
LD334,LD,AVAILABLE,NORTHWEST FIRE - Station 34
PM334,PM,AVAILABLE,NORTHWEST FIRE - Station 34
BR335,OTHER,AVAILABLE,NORTHWEST FIRE - Station 35
EN335,EN,AVAILABLE,NORTHWEST FIRE - Station 35
BR336,OTHER,AVAILABLE,NORTHWEST FIRE - Station 36
EN336,EN,AVAILABLE,NORTHWEST FIRE - Station 36
PM336,PM,AVAILABLE,NORTHWEST FIRE - Station 36
EN337,EN,AVAILABLE,NORTHWEST FIRE - Station 37
LQ337,LQ,AVAILABLE,NORTHWEST FIRE - Station 37
PM337,PM,AVAILABLE,NORTHWEST FIRE - Station 37
BC332,OTHER,AVAILABLE,NORTHWEST FIRE - Station 38
PM338,PM,AVAILABLE,NORTHWEST FIRE - Station 38
SQ338,OTHER,AVAILABLE,NORTHWEST FIRE - Station 38
EN338,EN,AVAILABLE,NORTHWEST FIRE - Station 38
BR339,OTHER,AVAILABLE,NORTHWEST FIRE - Station 39
EN339,EN,AVAILABLE,NORTHWEST FIRE - Station 39
EN341,EN,AVAILABLE,NORTHWEST FIRE - Station 41
TN341,TN,AVAILABLE,NORTHWEST FIRE - Station 41
EC121,OTHER,AVAILABLE,PICTURE ROCKS FIRE - Station 121
EN121,EN,AVAILABLE,PICTURE ROCKS FIRE - Station 121
FC121,FC,AVAILABLE,PICTURE ROCKS FIRE - Station 121
MD120,OTHER,AVAILABLE,PICTURE ROCKS FIRE - Station 121
PM121,PM,AVAILABLE,PICTURE ROCKS FIRE - Station 121
TN121,TN,AVAILABLE,PICTURE ROCKS FIRE - Station 121
UT121,OTHER,AVAILABLE,PICTURE ROCKS FIRE - Station 121
BR291,OTHER,AVAILABLE,RINCON VALLEY FIRE - Station 291
EN291,EN,AVAILABLE,RINCON VALLEY FIRE - Station 291
PM291,PM,AVAILABLE,RINCON VALLEY FIRE - Station 291
RE291,RE,AVAILABLE,RINCON VALLEY FIRE - Station 291
TN291,TN,AVAILABLE,RINCON VALLEY FIRE - Station 291
